Driver,Lap Number,Lap Time,Position,Time,Sector 1,Sector 2,Sector 3
PIA,1.0,0 days 00:03:05.558000,2.0,0 days 02:17:37.928000,,0 days 00:01:22.953000,0 days 00:00:46.768000
PIA,2.0,,2.0,0 days 02:20:32.417000,0 days 00:00:46.259000,0 days 00:01:21.693000,0 days 00:00:46.497000
PIA,3.0,,2.0,0 days 02:23:23.986000,0 days 00:00:45.865000,0 days 00:01:20.585000,0 days 00:00:45.078000
PIA,4.0,,2.0,0 days 02:26:25.966000,0 days 00:00:45.056000,0 days 00:01:25.005000,0 days 00:00:51.999000
PIA,5.0,0 days 00:01:59.092000,1.0,0 days 02:28:25.058000,0 days 00:00:32.950000,0 days 00:00:54.450000,0 days 00:00:31.692000
PIA,6.0,0 days 00:01:59.215000,1.0,0 days 02:30:24.273000,0 days 00:00:33.243000,0 days 00:00:54.495000,0 days 00:00:31.477000
PIA,7.0,0 days 00:01:59.768000,1.0,0 days 02:32:24.041000,0 days 00:00:33.264000,0 days 00:00:54.542000,0 days 00:00:31.962000
PIA,8.0,0 days 00:02:00.611000,1.0,0 days 02:34:24.652000,0 days 00:00:33.464000,0 days 00:00:55.068000,0 days 00:00:32.079000
PIA,9.0,0 days 00:02:01.409000,1.0,0 days 02:36:26.061000,0 days 00:00:33.779000,0 days 00:00:55.551000,0 days 00:00:32.079000
PIA,10.0,0 days 00:02:02.104000,1.0,0 days 02:38:28.165000,0 days 00:00:33.974000,0 days 00:00:56.147000,0 days 00:00:31.983000
PIA,11.0,0 days 00:02:01.466000,1.0,0 days 02:40:29.631000,0 days 00:00:33.844000,0 days 00:00:55.869000,0 days 00:00:31.753000
PIA,12.0,0 days 00:02:06.019000,2.0,0 days 02:42:35.650000,0 days 00:00:33.696000,0 days 00:00:55.638000,0 days 00:00:36.685000
PIA,13.0,0 days 00:02:10.324000,2.0,0 days 02:44:45.974000,0 days 00:00:48.957000,0 days 00:00:51.542000,0 days 00:00:29.825000
PIA,14.0,0 days 00:01:50.884000,1.0,0 days 02:46:36.858000,0 days 00:00:32.302000,0 days 00:00:49.450000,0 days 00:00:29.132000
PIA,15.0,0 days 00:01:49.089000,1.0,0 days 02:48:25.947000,0 days 00:00:31.751000,0 days 00:00:48.379000,0 days 00:00:28.959000
PIA,16.0,0 days 00:01:47.694000,1.0,0 days 02:50:13.641000,0 days 00:00:31.592000,0 days 00:00:47.156000,0 days 00:00:28.946000
PIA,17.0,0 days 00:01:47.251000,1.0,0 days 02:52:00.892000,0 days 00:00:31.368000,0 days 00:00:46.954000,0 days 00:00:28.929000
PIA,18.0,0 days 00:01:47.032000,1.0,0 days 02:53:47.924000,0 days 00:00:31.409000,0 days 00:00:46.801000,0 days 00:00:28.822000
PIA,19.0,0 days 00:01:46.762000,1.0,0 days 02:55:34.686000,0 days 00:00:31.360000,0 days 00:00:46.546000,0 days 00:00:28.856000
PIA,20.0,0 days 00:01:46.790000,1.0,0 days 02:57:21.476000,0 days 00:00:31.261000,0 days 00:00:46.604000,0 days 00:00:28.925000
PIA,21.0,0 days 00:01:46.486000,1.0,0 days 02:59:07.962000,0 days 00:00:31.152000,0 days 00:00:46.493000,0 days 00:00:28.841000
PIA,22.0,0 days 00:01:46.300000,1.0,0 days 03:00:54.262000,0 days 00:00:31.092000,0 days 00:00:46.443000,0 days 00:00:28.765000
PIA,23.0,0 days 00:01:46.433000,1.0,0 days 03:02:40.695000,0 days 00:00:31.059000,0 days 00:00:46.551000,0 days 00:00:28.823000
PIA,24.0,0 days 00:01:46.474000,1.0,0 days 03:04:27.169000,0 days 00:00:31.198000,0 days 00:00:46.533000,0 days 00:00:28.743000
PIA,25.0,0 days 00:01:46.415000,1.0,0 days 03:06:13.584000,0 days 00:00:31.082000,0 days 00:00:46.422000,0 days 00:00:28.911000
PIA,26.0,0 days 00:01:46.407000,1.0,0 days 03:07:59.991000,0 days 00:00:31.116000,0 days 00:00:46.462000,0 days 00:00:28.829000
PIA,27.0,0 days 00:01:46.243000,1.0,0 days 03:09:46.234000,0 days 00:00:31.038000,0 days 00:00:46.443000,0 days 00:00:28.762000
PIA,28.0,0 days 00:01:46.462000,1.0,0 days 03:11:32.696000,0 days 00:00:31.080000,0 days 00:00:46.626000,0 days 00:00:28.756000
PIA,29.0,0 days 00:01:46.171000,1.0,0 days 03:13:18.867000,0 days 00:00:31.063000,0 days 00:00:46.473000,0 days 00:00:28.635000
PIA,30.0,0 days 00:01:46.205000,1.0,0 days 03:15:05.072000,0 days 00:00:31.060000,0 days 00:00:46.490000,0 days 00:00:28.655000
PIA,31.0,0 days 00:01:46.242000,1.0,0 days 03:16:51.314000,0 days 00:00:30.989000,0 days 00:00:46.497000,0 days 00:00:28.756000
PIA,32.0,0 days 00:01:46.358000,1.0,0 days 03:18:37.672000,0 days 00:00:31.018000,0 days 00:00:46.633000,0 days 00:00:28.707000
PIA,33.0,0 days 00:01:46.663000,1.0,0 days 03:20:24.335000,0 days 00:00:31.064000,0 days 00:00:46.903000,0 days 00:00:28.696000
PIA,34.0,0 days 00:01:46.358000,1.0,0 days 03:22:10.693000,0 days 00:00:31.027000,0 days 00:00:46.627000,0 days 00:00:28.704000
PIA,35.0,0 days 00:01:46.444000,1.0,0 days 03:23:57.137000,0 days 00:00:31.032000,0 days 00:00:46.788000,0 days 00:00:28.624000
PIA,36.0,0 days 00:01:46.577000,1.0,0 days 03:25:43.714000,0 days 00:00:31.093000,0 days 00:00:46.907000,0 days 00:00:28.577000
PIA,37.0,0 days 00:01:46.483000,1.0,0 days 03:27:30.197000,0 days 00:00:31.029000,0 days 00:00:46.706000,0 days 00:00:28.748000
PIA,38.0,0 days 00:01:46.347000,1.0,0 days 03:29:16.544000,0 days 00:00:31.003000,0 days 00:00:46.740000,0 days 00:00:28.604000
PIA,39.0,0 days 00:01:46.498000,1.0,0 days 03:31:03.042000,0 days 00:00:30.963000,0 days 00:00:46.870000,0 days 00:00:28.665000
PIA,40.0,0 days 00:01:46.326000,1.0,0 days 03:32:49.368000,0 days 00:00:31.054000,0 days 00:00:46.610000,0 days 00:00:28.662000
PIA,41.0,0 days 00:01:46.144000,1.0,0 days 03:34:35.512000,0 days 00:00:31.029000,0 days 00:00:46.508000,0 days 00:00:28.607000
