Driver,Lap Time,Sector 1,Sector 2,Sector 3
ALB,01:20.779000,00:28.863000,00:29.021000,00:22.895000
ALO,01:20.113000,00:29.232000,00:28.298000,00:22.583000
ANT,01:20.745000,00:29.216000,00:28.731000,00:22.798000
BEA,01:21.989000,00:29.662000,00:29.236000,00:23.091000
BOR,01:20.705000,00:29.184000,00:28.684000,00:22.837000
COL,01:20.827000,00:29.225000,00:28.826000,00:22.776000
GAS,01:21.433000,00:29.272000,00:29.211000,00:22.950000
HAD,01:20.802000,00:29.335000,00:28.732000,00:22.735000
HAM,01:20.022000,00:28.974000,00:28.428000,00:22.620000
HUL,01:20.013000,00:28.770000,00:28.670000,00:22.573000
LAW,01:20.457000,00:29.094000,00:28.636000,00:22.727000
LEC,01:20.440000,00:29.099000,00:28.535000,00:22.806000
NOR,01:19.918000,00:29.058000,00:28.214000,00:22.646000
OCO,01:21.916000,00:29.452000,00:29.432000,00:23.032000
PIA,01:19.412000,00:29.007000,00:27.940000,00:22.465000
RUS,01:19.409000,00:28.968000,00:28.136000,00:22.305000
SAI,01:19.790000,00:28.716000,00:28.589000,00:22.485000
STR,01:20.708000,00:29.170000,00:28.767000,00:22.771000
TSU,01:21.180000,00:29.411000,00:28.937000,00:22.832000
VER,01:19.576000,00:29.022000,00:28.166000,00:22.388000
