Driver,Lap Number,Lap Time,Position,Time,Sector 1,Sector 2,Sector 3
NOR,1.0,0 days 00:01:30.120000,5.0,0 days 00:59:18.340000,,0 days 00:00:31.396000,0 days 00:00:23.329000
NOR,2.0,0 days 00:01:23.964000,5.0,0 days 01:00:42.304000,0 days 00:00:30.209000,0 days 00:00:30.346000,0 days 00:00:23.409000
NOR,3.0,0 days 00:01:23.223000,4.0,0 days 01:02:05.527000,0 days 00:00:29.792000,0 days 00:00:30.097000,0 days 00:00:23.334000
NOR,4.0,0 days 00:01:22.877000,4.0,0 days 01:03:28.404000,0 days 00:00:30.125000,0 days 00:00:29.665000,0 days 00:00:23.087000
NOR,5.0,0 days 00:01:22.639000,4.0,0 days 01:04:51.043000,0 days 00:00:29.930000,0 days 00:00:29.672000,0 days 00:00:23.037000
NOR,6.0,0 days 00:01:22.181000,4.0,0 days 01:06:13.224000,0 days 00:00:29.880000,0 days 00:00:29.313000,0 days 00:00:22.988000
NOR,7.0,0 days 00:01:22.217000,4.0,0 days 01:07:35.441000,0 days 00:00:29.829000,0 days 00:00:29.373000,0 days 00:00:23.015000
NOR,8.0,0 days 00:01:21.986000,4.0,0 days 01:08:57.427000,0 days 00:00:29.655000,0 days 00:00:29.167000,0 days 00:00:23.164000
NOR,9.0,0 days 00:01:21.579000,4.0,0 days 01:10:19.006000,0 days 00:00:29.497000,0 days 00:00:29.131000,0 days 00:00:22.951000
NOR,10.0,0 days 00:01:22.089000,4.0,0 days 01:11:41.095000,0 days 00:00:29.616000,0 days 00:00:29.355000,0 days 00:00:23.118000
NOR,11.0,0 days 00:01:22.251000,4.0,0 days 01:13:03.346000,0 days 00:00:29.586000,0 days 00:00:29.501000,0 days 00:00:23.164000
NOR,12.0,0 days 00:01:22.404000,4.0,0 days 01:14:25.750000,0 days 00:00:29.658000,0 days 00:00:29.483000,0 days 00:00:23.263000
NOR,13.0,0 days 00:01:22.675000,4.0,0 days 01:15:48.425000,0 days 00:00:29.671000,0 days 00:00:29.540000,0 days 00:00:23.464000
NOR,14.0,0 days 00:01:22.154000,4.0,0 days 01:17:10.579000,0 days 00:00:29.839000,0 days 00:00:29.196000,0 days 00:00:23.119000
