Driver,LapTime,Sector 1,Sector 2,Sector 3,circuit_name,sector_length_km_S1,sector_length_km_S2,sector_length_km_S3,sector_straight_ratio_S1,sector_straight_ratio_S2,sector_straight_ratio_S3,sector_slow_corner_ratio_S1,sector_slow_corner_ratio_S2,sector_slow_corner_ratio_S3,sector_time_seconds_S1,sector_time_seconds_S2,sector_time_seconds_S3,sector_time_ratio_S1,sector_time_ratio_S2,sector_time_ratio_S3,Track Length (km),Corners,Global Straight Ratio,Event Year
ALB,106.813,30.961,30.961,30.961,Belgium,2.242,2.796,1.921,78.11,39.68,68.49,15.02,8.04,25.21,31.998,50.837,30.324,28.28,44.93,26.8,6.959,19,58.41,2024
ALO,105.849,30.898,30.898,30.898,Belgium,2.242,2.796,1.921,78.11,39.68,68.49,15.02,8.04,25.21,31.998,50.837,30.324,28.28,44.93,26.8,6.959,19,58.41,2024
ANT,104.861,30.843,30.843,30.843,Belgium,2.242,2.796,1.921,78.11,39.68,68.49,15.02,8.04,25.21,31.998,50.837,30.324,28.28,44.93,26.8,6.959,19,58.41,2024
BEA,106.709,30.56,30.56,30.56,Belgium,2.242,2.796,1.921,78.11,39.68,68.49,15.02,8.04,25.21,31.998,50.837,30.324,28.28,44.93,26.8,6.959,19,58.41,2024
BOR,106.966,31.238,31.238,31.238,Belgium,2.242,2.796,1.921,78.11,39.68,68.49,15.02,8.04,25.21,31.998,50.837,30.324,28.28,44.93,26.8,6.959,19,58.41,2024
COL,106.104,30.753,30.753,30.753,Belgium,2.242,2.796,1.921,78.11,39.68,68.49,15.02,8.04,25.21,31.998,50.837,30.324,28.28,44.93,26.8,6.959,19,58.41,2024
GAS,107.177,30.935,30.935,30.935,Belgium,2.242,2.796,1.921,78.11,39.68,68.49,15.02,8.04,25.21,31.998,50.837,30.324,28.28,44.93,26.8,6.959,19,58.41,2024
HAD,107.667,31.579,31.579,31.579,Belgium,2.242,2.796,1.921,78.11,39.68,68.49,15.02,8.04,25.21,31.998,50.837,30.324,28.28,44.93,26.8,6.959,19,58.41,2024
HAM,106.534,31.075,31.075,31.075,Belgium,2.242,2.796,1.921,78.11,39.68,68.49,15.02,8.04,25.21,31.998,50.837,30.324,28.28,44.93,26.8,6.959,19,58.41,2024
HUL,105.068,30.463,30.463,30.463,Belgium,2.242,2.796,1.921,78.11,39.68,68.49,15.02,8.04,25.21,31.998,50.837,30.324,28.28,44.93,26.8,6.959,19,58.41,2024
LAW,106.649,31.116,31.116,31.116,Belgium,2.242,2.796,1.921,78.11,39.68,68.49,15.02,8.04,25.21,31.998,50.837,30.324,28.28,44.93,26.8,6.959,19,58.41,2024
LEC,106.174,30.874,30.874,30.874,Belgium,2.242,2.796,1.921,78.11,39.68,68.49,15.02,8.04,25.21,31.998,50.837,30.324,28.28,44.93,26.8,6.959,19,58.41,2024
NOR,105.257,30.811,30.811,30.811,Belgium,2.242,2.796,1.921,78.11,39.68,68.49,15.02,8.04,25.21,31.998,50.837,30.324,28.28,44.93,26.8,6.959,19,58.41,2024
OCO,106.744,30.757,30.757,30.757,Belgium,2.242,2.796,1.921,78.11,39.68,68.49,15.02,8.04,25.21,31.998,50.837,30.324,28.28,44.93,26.8,6.959,19,58.41,2024
PIA,105.706,30.905,30.905,30.905,Belgium,2.242,2.796,1.921,78.11,39.68,68.49,15.02,8.04,25.21,31.998,50.837,30.324,28.28,44.93,26.8,6.959,19,58.41,2024
RUS,106.566,30.765,30.765,30.765,Belgium,2.242,2.796,1.921,78.11,39.68,68.49,15.02,8.04,25.21,31.998,50.837,30.324,28.28,44.93,26.8,6.959,19,58.41,2024
